altura,herbiv,raiz2.area
baja,aus,9.40557281615532
baja,aus,34.4677356378396
baja,aus,46.6734849780901
baja,aus,16.6421392855606
baja,aus,24.3774978207362
baja,aus,38.3506036458359
baja,aus,33.7772230948608
baja,aus,61.0959965955217
baja,aus,35.4561701259456
baja,aus,46.1744041650783
baja,aus,35.4118398279445
baja,aus,25.0449436014538
baja,aus,0.707106781186548
baja,aus,41.0987834369827
baja,aus,36.1580641074712
baja,aus,41.7904797770976
baja,pres,11.9767608308758
baja,pres,14.4712266238906
baja,pres,0.707106781186548
baja,pres,8.0073341381511
baja,pres,0.707106781186548
baja,pres,0.707106781186548
baja,pres,27.6389001228341
baja,pres,42.9855882825861
baja,pres,3.15036505821151
baja,pres,8.34357237638651
baja,pres,0.707106781186548
baja,pres,4.12230518035722
baja,pres,0.707106781186548
baja,pres,35.9729592888881
baja,pres,3.50442577321877
baja,pres,2.75110886734786
mitad,aus,0.707106781186548
mitad,aus,24.9506873652811
mitad,aus,46.5639774933371
mitad,aus,0.707106781186548
mitad,aus,5.13986381142536
mitad,aus,6.18055013732596
mitad,aus,46.9503184227754
mitad,aus,22.8989475740699
mitad,aus,19.4291533526297
mitad,aus,37.1332330938204
mitad,aus,14.1972673426966
mitad,aus,3.15036505821151
mitad,aus,21.6108213633818
mitad,aus,16.6421392855606
mitad,aus,45.540707065218
mitad,aus,47.9353210065396
mitad,pres,0.707106781186548
mitad,pres,32.2060242811807
mitad,pres,35.0775768832455
mitad,pres,17.538283838506
mitad,pres,6.24376488987214
mitad,pres,13.0440177859431
mitad,pres,25.6338526171935
mitad,pres,36.5039504711476
mitad,pres,37.5224839263074
mitad,pres,45.7815159207294
mitad,pres,20.0263326647692
mitad,pres,9.97298350545111
mitad,pres,2.75110886734786
mitad,pres,40.1319075051261
mitad,pres,40.8111259339901
mitad,pres,44.8630672156954
